	Data	NWTMean	NWTMeanDev	NWTHetPer	NWTHetPerDev	NWTHtRCon	NpatSdelMean	NpatSdelMeanDev	NpatSdelHetPer	NpatSdelHetPerDev	NpatSdelHtRCon	NhetNdelMean	NhetNdelMeanDev	NhetNdelHetPer	NhetNdelHetPerDev	NhetNdelHtRCon	NpatAdelHetPer	NpatAdelHetPerDev	NpatAdelHtRCon	NpatAhetNdelHetPer	NpatAhetNdelHetPerDev	NpatAhetNdelHtRCon	NhetFdelHtRCon	NpatXpatSdelMean	NpatXpatSdelMeanDev	NpatXpatSdelHetPer	NpatXpatSdelHetPerDev	NpatXpatSdelHtRCon	NpatApatSdelMean	NpatApatSdelMeanDev	NpatApatSdelHetPer	NpatApatSdelHetPerDev	NpatApatSdelHtRCon	NpatXdelMean	NpatXdelMeanDev	NpatXdelHetPer	NpatXdelHetPerDev	NpatXdelHtRCon
77.0		12.3	0.3	7.7	0.2	43.9	5.4	0.1	16.1	0.3	40.1	5.0	0.1	16.9	0.3	57.3	1.3	0.1	53.8	1.6	0.2	55.5	55.5	4.7	0.1	18.2	0.4	41.2	7.2	0.2	12.7	0.3	44.2	10.9	0.3	8.8	0.3	42.5
78.0		12.2	0.3	7.8	0.2	43.7	5.5	0.1	16.0	0.3	40.2	5.0	0.1	17.0	0.3	57.1	1.3	0.1	53.8	1.5	0.2	55.5	55.5	4.7	0.1	18.1	0.4	41.1	7.2	0.2	12.7	0.3	44.0	10.8	0.3	8.8	0.3	42.4
79.0		12.1	0.3	7.8	0.2	43.6	5.5	0.1	15.9	0.3	40.5	5.0	0.1	17.0	0.3	57.1	1.3	0.1	53.8	1.5	0.2	55.6	55.6	4.7	0.1	18.0	0.4	41.5	7.2	0.2	12.6	0.2	43.8	10.8	0.3	8.9	0.3	42.2
80.0		12.1	0.3	7.8	0.2	43.5	5.6	0.1	15.7	0.3	41.0	5.0	0.1	17.0	0.3	57.1	1.3	0.1	53.8	1.5	0.2	55.5	55.5	4.8	0.1	17.8	0.5	42.1	7.3	0.2	12.5	0.3	44.1	10.8	0.3	8.9	0.3	42.2
81.0		12.1	0.3	7.8	0.2	43.5	5.6	0.1	15.6	0.4	41.8	5.0	0.1	17.0	0.4	56.9	1.2	0.1	53.8	1.5	0.2	55.6	55.6	4.8	0.1	17.6	0.5	43.0	7.4	0.2	12.3	0.3	44.5	10.8	0.3	8.8	0.3	42.1
82.0		12.1	0.3	7.8	0.2	43.4	5.7	0.1	15.4	0.3	42.8	5.0	0.1	16.9	0.4	56.8	1.2	0.1	53.8	1.5	0.2	55.5	55.5	4.9	0.1	17.4	0.5	44.3	7.5	0.2	12.2	0.2	45.3	10.8	0.2	8.8	0.3	42.2
83.0		12.2	0.3	7.7	0.2	43.4	5.8	0.1	15.2	0.3	43.8	5.0	0.1	16.8	0.3	56.9	1.2	0.1	53.8	1.4	0.2	55.5	55.5	5.0	0.1	17.2	0.6	45.5	7.6	0.2	12.0	0.2	46.1	10.9	0.2	8.7	0.3	42.3
84.0		12.3	0.3	7.6	0.2	43.6	5.9	0.1	14.9	0.3	45.1	5.1	0.1	16.6	0.3	57.0	1.2	0.1	53.9	1.4	0.2	55.5	55.5	5.0	0.1	17.1	0.5	46.6	7.8	0.2	11.8	0.3	46.8	11.0	0.2	8.6	0.3	42.4
85.0		12.4	0.3	7.5	0.2	43.8	6.0	0.1	14.8	0.3	45.9	5.2	0.1	16.4	0.3	57.0	1.1	0.1	53.9	1.4	0.2	55.5	55.5	5.1	0.1	16.9	0.6	47.5	7.9	0.2	11.6	0.2	48.0	11.2	0.2	8.5	0.3	42.6
86.0		12.6	0.3	7.4	0.2	43.9	6.0	0.1	14.6	0.3	46.8	5.2	0.1	16.2	0.3	57.1	1.1	0.1	54.0	1.4	0.1	55.5	55.5	5.2	0.1	16.7	0.6	48.2	8.1	0.2	11.4	0.2	49.0	11.3	0.3	8.4	0.3	42.9
87.0		12.7	0.3	7.3	0.2	44.0	6.1	0.1	14.5	0.3	47.6	5.3	0.1	16.0	0.3	57.1	1.1	0.1	54.0	1.3	0.1	55.5	55.5	5.2	0.1	16.6	0.5	49.0	8.2	0.2	11.2	0.3	50.0	11.5	0.2	8.3	0.3	43.1
88.0		12.8	0.3	7.3	0.2	44.2	6.1	0.1	14.5	0.3	48.1	5.3	0.1	15.8	0.3	57.1	1.1	0.1	54.0	1.3	0.1	55.5	55.5	5.2	0.1	16.6	0.5	49.4	8.3	0.2	11.1	0.2	50.9	11.7	0.2	8.2	0.2	43.3
89.0		12.9	0.3	7.2	0.2	44.4	6.1	0.1	14.5	0.3	48.0	5.4	0.1	15.7	0.3	57.1	1.1	0.1	54.0	1.3	0.1	55.5	55.5	5.2	0.1	16.5	0.5	49.5	8.3	0.2	11.1	0.2	51.4	11.7	0.2	8.1	0.2	43.5
90.0		13.0	0.3	7.1	0.2	44.6	6.1	0.1	14.5	0.4	48.0	5.4	0.1	15.5	0.3	57.1	1.0	0.1	54.1	1.3	0.1	55.5	55.5	5.2	0.1	16.6	0.5	49.3	8.3	0.2	11.0	0.2	51.6	11.8	0.3	8.0	0.2	43.6
91.0		13.1	0.3	7.0	0.2	44.7	6.1	0.1	14.5	0.4	48.0	5.5	0.1	15.4	0.3	57.2	1.0	0.1	54.0	1.3	0.1	55.5	55.5	5.2	0.1	16.6	0.5	49.0	8.3	0.2	11.1	0.2	51.7	11.9	0.2	8.0	0.2	43.8
92.0		13.1	0.3	7.0	0.2	44.8	6.0	0.1	14.6	0.4	47.8	5.5	0.1	15.3	0.3	57.3	1.0	0.1	54.0	1.2	0.1	55.5	55.5	5.1	0.1	16.7	0.5	48.5	8.3	0.2	11.1	0.2	51.5	11.9	0.3	7.9	0.2	43.9
93.0		13.1	0.3	7.0	0.2	44.8	6.0	0.1	14.7	0.3	47.3	5.5	0.1	15.3	0.3	57.3	1.0	0.1	54.1	1.2	0.1	55.5	55.5	5.1	0.1	16.9	0.6	47.5	8.2	0.2	11.2	0.3	51.2	11.9	0.3	7.9	0.2	44.0
94.0		13.1	0.3	7.0	0.2	44.8	5.9	0.1	14.8	0.3	46.9	5.5	0.1	15.3	0.3	57.3	1.0	0.1	54.1	1.2	0.1	55.5	55.5	5.0	0.1	17.0	0.6	46.6	8.1	0.1	11.3	0.3	50.8	11.8	0.2	8.0	0.1	43.9
95.0		13.1	0.3	7.0	0.2	44.8	5.8	0.1	15.0	0.3	46.3	5.5	0.1	15.3	0.3	57.3	1.0	0.1	54.1	1.2	0.1	55.5	55.5	5.0	0.1	17.2	0.5	45.9	8.0	0.1	11.5	0.2	50.0	11.7	0.2	8.0	0.2	43.8
96.0		13.1	0.3	7.1	0.3	44.8	5.7	0.1	15.2	0.3	45.5	5.5	0.1	15.3	0.3	57.2	1.0	0.1	54.1	1.2	0.1	55.5	55.5	4.9	0.1	17.3	0.4	45.4	7.9	0.1	11.6	0.2	49.4	11.7	0.2	8.1	0.2	43.8
