	Data	NWTMean	NWTMeanDev	NWTHetPer	NWTHetPerDev	NWTHtRCon	NpatSdelMean	NpatSdelMeanDev	NpatSdelHetPer	NpatSdelHetPerDev	NpatSdelHtRCon	NhetNdelMean	NhetNdelMeanDev	NhetNdelHetPer	NhetNdelHetPerDev	NhetNdelHtRCon	NpatAdelHetPer	NpatAdelHetPerDev	NpatAdelHtRCon	NpatAhetNdelHetPer	NpatAhetNdelHetPerDev	NpatAhetNdelHtRCon	NhetFdelHtRCon	NpatXpatSdelMean	NpatXpatSdelMeanDev	NpatXpatSdelHetPer	NpatXpatSdelHetPerDev	NpatXpatSdelHtRCon	NpatApatSdelMean	NpatApatSdelMeanDev	NpatApatSdelHetPer	NpatApatSdelHetPerDev	NpatApatSdelHtRCon	NpatXdelMean	NpatXdelMeanDev	NpatXdelHetPer	NpatXdelHetPerDev	NpatXdelHtRCon
10.0		12.7	1.8	5.2	0.8	54.1	2.8	0.1	27.1	1.3	31.2	11.6	1.5	5.4	1.0	61.1	1.1	0.4	56.2	0.8	0.5	57.2	57.2	2.0	0.1	33.1	1.3	30.6	4.9	0.2	17.9	0.9	38.0	11.3	1.1	7.0	1.0	52.9
11.0		12.7	1.4	6.0	0.7	52.2	3.0	0.1	26.4	1.2	30.9	12.2	1.2	6.4	0.9	61.3	1.6	0.5	55.3	1.4	0.5	57.1	57.1	2.2	0.1	32.2	1.3	30.4	5.1	0.2	17.4	1.1	36.7	11.3	1.0	7.6	0.9	50.7
12.0		12.6	1.2	6.5	0.8	50.7	3.1	0.1	25.4	1.2	31.3	12.1	1.1	6.9	0.9	61.4	1.9	0.5	54.5	1.8	0.6	56.7	56.7	2.3	0.1	31.1	1.4	30.4	5.3	0.2	16.8	1.1	37.2	11.3	0.9	8.1	1.0	49.3
13.0		12.8	1.1	7.0	0.7	49.6	3.3	0.1	24.5	1.3	31.8	11.7	1.0	7.2	0.8	61.8	2.0	0.5	54.3	1.9	0.5	56.8	56.8	2.4	0.1	30.2	1.4	30.6	5.6	0.3	16.3	1.0	38.5	11.3	0.8	8.5	1.0	47.8
14.0		13.1	1.0	7.1	0.6	48.8	3.4	0.1	23.6	1.2	32.5	11.6	0.9	7.6	0.8	61.3	2.0	0.4	54.2	1.9	0.5	56.7	56.7	2.5	0.1	29.3	1.3	31.0	5.8	0.3	15.7	1.0	40.0	11.4	0.7	8.6	0.9	47.0
15.0		12.8	1.0	7.1	0.6	48.5	3.6	0.1	22.9	1.3	33.4	11.1	0.8	8.1	0.7	61.1	2.0	0.4	54.1	1.9	0.4	56.8	56.8	2.6	0.1	28.5	1.2	31.5	6.0	0.3	15.2	1.0	41.6	11.5	0.7	8.6	0.9	46.6
16.0		12.6	1.0	7.2	0.5	48.0	3.7	0.2	22.2	1.2	34.5	10.8	0.7	8.4	0.8	61.1	2.0	0.4	54.1	2.0	0.4	56.7	56.7	2.7	0.1	27.8	1.2	32.0	6.2	0.3	14.8	0.9	42.9	11.6	0.7	8.7	0.8	46.4
17.0		12.5	0.9	7.3	0.5	47.8	3.8	0.2	21.8	1.1	35.6	10.5	0.7	8.8	1.0	61.2	2.0	0.4	54.0	2.0	0.3	56.7	56.7	2.7	0.1	27.3	1.3	32.5	6.4	0.3	14.4	0.9	44.3	11.6	0.7	8.8	0.7	46.0
18.0		12.5	0.9	7.3	0.4	47.7	3.9	0.2	21.4	1.1	36.4	9.8	0.6	9.2	1.0	60.8	2.0	0.4	53.9	2.1	0.4	56.6	56.6	2.8	0.1	26.8	1.2	32.7	6.5	0.3	14.2	0.9	45.7	11.4	0.6	9.1	0.8	45.5
19.0		12.4	0.9	7.5	0.3	47.3	4.0	0.2	21.1	1.1	36.9	9.2	0.6	9.8	1.0	60.6	2.1	0.4	53.8	2.2	0.4	56.5	56.5	2.9	0.1	26.5	1.2	33.2	6.5	0.3	14.2	0.9	46.2	11.3	0.6	9.2	0.9	44.9
20.0		12.6	0.8	7.8	0.4	47.0	4.0	0.2	21.0	1.1	37.2	8.5	0.5	10.5	0.9	60.5	2.1	0.4	53.8	2.3	0.4	56.5	56.5	2.9	0.1	26.2	1.1	33.5	6.5	0.3	14.3	0.8	45.8	11.1	0.6	9.4	0.8	44.5
21.0		12.5	0.8	7.9	0.4	46.5	4.0	0.2	20.9	1.1	37.1	7.9	0.5	11.2	1.1	60.4	2.2	0.4	53.7	2.3	0.5	56.5	56.5	3.0	0.1	26.0	1.0	33.6	6.4	0.3	14.4	0.9	45.2	10.8	0.6	9.6	0.8	44.0
22.0		12.2	0.7	8.3	0.5	45.8	4.0	0.2	20.9	1.1	37.2	7.5	0.4	11.9	1.1	60.4	2.3	0.4	53.4	2.5	0.5	56.5	56.5	3.0	0.1	25.8	0.9	33.7	6.3	0.3	14.5	1.0	44.0	10.6	0.5	10.0	0.6	43.4
23.0		12.0	0.7	8.4	0.5	45.5	4.0	0.1	20.9	1.1	36.9	7.4	0.4	12.4	1.1	60.5	2.3	0.4	53.5	2.6	0.5	56.4	56.4	3.0	0.1	25.8	0.9	33.6	6.2	0.3	14.7	0.8	42.8	10.2	0.5	10.3	0.6	42.6
24.0		11.7	0.6	8.7	0.6	44.9	4.0	0.1	21.0	1.2	36.4	7.0	0.4	13.1	1.0	60.4	2.4	0.4	53.2	2.6	0.5	56.4	56.4	3.0	0.1	25.7	0.9	33.6	6.2	0.2	14.9	0.8	42.0	10.1	0.5	10.5	0.7	42.2
25.0		11.2	0.6	9.0	0.6	44.2	4.0	0.1	21.1	1.1	36.0	6.6	0.3	13.9	1.0	60.2	2.5	0.4	53.1	2.6	0.5	56.4	56.4	3.0	0.1	25.7	0.9	33.6	6.1	0.2	15.0	0.8	41.2	9.8	0.5	10.7	0.6	41.6
26.0		10.9	0.6	9.4	0.7	43.4	4.0	0.1	21.1	1.1	35.5	6.3	0.3	14.6	0.9	59.9	2.5	0.4	52.9	2.7	0.4	56.3	56.3	3.0	0.1	25.6	0.8	33.1	6.0	0.2	15.3	0.8	40.1	9.6	0.4	10.9	0.5	41.0
27.0		10.5	0.5	9.7	0.7	42.6	4.0	0.1	21.0	1.0	35.0	6.0	0.3	15.3	1.0	59.6	2.5	0.4	52.8	2.7	0.5	56.3	56.3	3.1	0.1	25.4	0.8	32.9	6.0	0.2	15.2	0.7	39.6	9.4	0.4	11.1	0.5	40.5
