0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		-nan
17		-nan
18		-nan
19		-nan
20		-nan
21		-nan
22		-nan
23		-nan
24		0
25		0
26		0
27		0
28		0.2948
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		-nan
37		-nan
38		-nan
39		0
40		-0.121729
41		0
42		0
43		0.685668
44		0.689205
45		0.689205
46		0.847697
47		1.4404
48		0.84506
49		0.70246
50		0.836333
51		0.848721
52		0.826112
53		0.61697
54		0.498761
55		0.521465
56		0.473617
57		0.500753
58		0.456867
59		0.52995
60		0.54781
61		0.408949
62		0.316705
63		0.165698
64		0.00864123
65		-0.0518383
66		-0.195711
67		-0.151686
68		-0.223433
69		-0.321476
70		-0.430054
71		-0.354493
72		-0.134176
73		0.00436713
74		-0.143759
75		0.0494439
76		0.0218139
77		-0.0222742
78		-0.186453
79		-0.21502
80		-0.286811
81		-0.337521
82		-0.234815
83		-0.231211
84		-0.522767
85		-0.452951
86		-0.487565
87		-0.407381
88		-0.487751
89		-0.50068
90		-0.535407
91		-0.594651
92		-0.463764
93		-0.325
94		-0.338555
95		-0.394823
96		-0.396917

#-------------------------------------
#Time 	 skewness
#Averaged=150 times.
