Time	patAdelMean	patAdelMeanDev	patAhetNdelMean	patAhetNdelMeanDev
24	1	0	1.0153846154	0
48	1.0076923077	0	1.1923076923	0.80860754005
72	1.0230769231	0.32816506165	1.35384615385	1.02657009205
96	1.05384615385	0.40191847625	1.9	1.3243285672
